kraj,okres,obec,cintorín,národnosť,dôvodÚmrtia,dátumÚmrtia,početHrobov,početPochovaných,GPS
Trenčiansky,Bánovce nad Bebravou,Bánovce nad Bebravou,obecný,"slov.
maď. neznámy
","zastrelený
","6/12/1918
",2,2,48.721667 18.259826
Trenčiansky,Bánovce nad Bebravou,Jastrabie,obecný,"čes.
srb. zajatec
","ťažké zranenie
","27/11/1918
1/10/1918
",2,2,48.949383 21.608524
Trenčiansky,Bánovce nad Bebravou,Krásna Ves,obecný,"maď.
",-,"20/9/1914
",1,1,48.848494 18.2252
Trenčiansky,Bánovce nad Bebravou,Kšinná,evanjelický,"slov. vojak
","tuberkulóza
","1/10/1918
",1,1,48.826506 18.370874
Trenčiansky,Bánovce nad Bebravou,Šišov,obecný,"bez národn.
","padol v Galícii
",-,1,1,48.659945 18.177226
Trenčiansky,Bánovce nad Bebravou,Uhrovec,rímskokatolícky,"10 slov.
2 čes.
1 tal.
1 maď.
bez národ.
","rôzne
neuvedené
","1915
",15,15,48.726762 18.350528
Trenčiansky,Bánovce nad Bebravou,Uhrovec,evanjelický,"čs.
","rôzne
","1915
",4,4,48.726762 18.350528
Trenčiansky,Bánovce nad Bebravou,Uhrovec,židovský,"žid
maď.
rum.
","bruš. týfus
samovražda
zápal pľúc
","1918
1918
1918
",3,3,48.726762 18.350528
Trenčiansky,Bánovce nad Bebravou,Zlatníky,obecný,"rus.
juhoslov.
","práca v lese
zápal pľúc
","1915
1916
",2,2,48.728761 18.060941
Banskobystrický,Banská Štiavnica,Banská Štiavnica,evanjelický,"bosnian.
","zápal pľúc
týfus
srd. vada
zápal mozg. blán
","1916
",6,6,48.458093 18.898841
Banskobystrický,Banská Štiavnica,Banská Štiavnica,-,"srb.
","tuberkulóza
","1915
",1,1,48.458093 18.898841
Banskobystrický,Banská Štiavnica,Baďan,obecný,"maď.
","popravený
","1919
",1,1,48.331534 18.850865
Banskobystrický,Banská Štiavnica,Banská Belá,rímskokatolícky,"čs.
","pretrhnutie žily
","1917
",1,1,48.485077 18.955784
Banskobystrický,Banská Štiavnica,Banská Belá,evanjelický,-,-,"1919
",1,1,48.485077 18.955784
Banskobystrický,Banská Štiavnica,Banská Štiavnica,rímskokatolícky,"čs.
poľ.
","španiel. chrípka
tuberkulóza
srd. vada
","1918
",4,4,48.458093 18.898841
Banskobystrický,Banská Štiavnica,Banská Štiavnica,evanjelický,"čs.
2 rum.
","tuberkulóza
zápal pľúc
zápal mozg. blán
","1916
",3,3,48.458093 18.898841
Banskobystrický,Banská Štiavnica,Banská Štiavnica,-,"čes.
","ranený od boľševikov
",-,1,1,48.458093 18.898841
Banskobystrický,Banská Štiavnica,Banská Štiavnica,-,"čs.
","tuberkulóza
nehoda
","1915
",3,3,48.458093 18.898841
Banskobystrický,Banská Štiavnica,Banská Štiavnica,civilný,"5 čs.
1 rum.
","tuberkulóza
suchoty
zranenie
zápal pľúc
","1915
",6,6,48.458093 18.898841
Banskobystrický,Banská Štiavnica,Banská Štiavnica,-,"6 juhosl.
1 rum.
",-,-,7,7,48.458093 18.898841
Banskobystrický,Banská Štiavnica,Banská Štiavnica,-,"10 čs.
3 poľ.
2 rum.
1 juhosl.
",-,-,16,16,48.458093 18.898841
Banskobystrický,Banská Štiavnica,Banská Štiavnica,obecný,"6 čs.
1 rak.
2 nezn.
","hlavne zranenia
","1915
",10,10,48.458093 18.898841
Banskobystrický,Banská Štiavnica,Banská Štiavnica,židovský,"slov.
",-,"1914
",1,1,48.458093 18.898841
Banskobystrický,Banská Štiavnica,Beluj,rímskokatolícky obecný,"slov.
","španielska chrípka
","1919
",1,1,48.354342 18.87929
Banskobystrický,Banská Štiavnica,Beluj,evanjelický obecný,"slov.
","tuberkulóza
ťažké
zranenie
",-,2,2,48.354342 18.87929
Banskobystrický,Banská Štiavnica,Dekýš,obecný evanjelický,"2 slov.
10 neznámy
2 čes.
","zranenie
špan. chríp.
","1918
1919
",4,14,48.394471 18.809233
Banskobystrický,Banská Štiavnica,Horná Roveň,rímskokatolícky obecný,"slov.
","zápal pľúc
","1917
",1,1,48.464136 17.421317
Banskobystrický,Banská Štiavnica,Ilija,obecný,-,"zápal pľúc
zastrelený omylom
",-,2,2,48.410335 18.896207
Banskobystrický,Banská Štiavnica,Piarg,rímskokatolícky obecný,"slov.
","týfus
tuberkulóza zranenie
","1917
",4,4,48.758756 18.27036
Banskobystrický,Banská Štiavnica,Počuvadlo,evanjelický obecný,"slov.
","zomreli doma
","1917
",2,2,48.376747 18.841762
Banskobystrický,Banská Štiavnica,Svätý Antol,katolícky obecný,"slov.
","zápal pľúc
tuberkulóza zranenie
","1916
",5,5,48.58684 16.99554
Banskobystrický,Banská Štiavnica,Vysoká pri Pukanci,rímskokatolícky cirkevný,"čes.
neznámy
","strelený do hlavy
zranený v poli
","1919
1919
",2,2,48.32973 16.91184
Banskobystrický,Banská Bystrica,Banská Bystrica,-,"rus
",-,"1915
",-,-,48.733333 19.15
Banskobystrický,Banská Bystrica,Banská Bystrica,-,"rus
",-,"1916
",1,48,48.733333 19.15
Banskobystrický,Banská Bystrica,Ulmanka,katolícky,"rus
",-,-,-,-,48.78566 19.11111
Banskobystrický,Banská Bystrica,Vlkanová,obecný,"rus
",-,-,-,-,48.675469 19.166816
