Názov,Kraj,Okres,Obec,Popis obce,Lokalita,GPS,Popis fotky,Zoznam padlych,Datum narodenia,Datum umrtia
"Pomník padlým v I. a II. svetovej vojne, Devínska Nová Ves (Bratislava)",Bratislavský,Bratislava IV,Bratislava – mestská časť Devínska Nová Ves,Devínska Nová Ves je mestskou časťou Bratislavy a nachádza sa 15 km severozápadne od centra. Rozprestiera sa na okraji Záhorskej nížiny a na úpätí Devínskej Kobyly v Bratislavskom samosprávnom kraji. Prvá písomná zmienka je roku 1539 a v súčasnosti tu žije takmer 16.000 obyvateľov.,Na styku ulíc Eisnerova a Istrijská v Devínskej Novej Vsi na Námestí 6. apríla pred domom č. 21.,48.207576 16.97238,"Na snímke je pomník padlých vojakov v I. a II. svetovej vojne, na ktorom figuruje 66 mien padlých vojakov v I. a 9 v II. svetovej vojne. Pri menách 36 vojakov padlých I. svetovej vojne sa nachádza ich fotografia. Pomník, ktorého autorom je Alojz Rigele, bol postavený v roku 1929.","Fridrich Kubovič
Antonín Kovarik
František Ružovič
Matej Pokorný
Michal Martanovič
Robert Ružovič
Ján Krajčír
Jakub Ruzovič
Vendelín Beseda
Ludevit Anderle
Rudolf Václav
Jozef Hanuzek
Jozef Zahradniček
Ondrej Kralovič
Anton Encinger
Ondrej Krist
Fabian Michalik
Vinzenz Havel
Filko Šubin
Vinzenz Hedegüš
Štefan Krajčir
Jozef Královič
Ján Kovár
Felix Kovár
Ján Balog
Jakub Netich
Štefan Milošovič
Ján Vavrovič
Telesvor Sith
Štefan Mikletič
Pavel Rác
Peter Martanovič
Štefan Tomkovič
Matej Klepoch
Matej Klepoch
Michal Martanovič
Ján Havel
Urban Sloboda
Urban Sloboda
Ján Cvečko
Adam Vlasič
Anton Kralovič
Ján Balog
Ján Mičulik
Jozef Božič
Štefan Martanovič
František Valent
Michal Mitisek
Rudolf Vlk
Tomáš Verner
Michal Valachovič
Pavel Ebringer
František Vlk
Karol Martanovič
Peter Šubin
Štefan Pákozdi
Ján Dudek
Rudolf Fratrič
Pavel Turner
Jakub Mikletič
Anton Grožaj
Filip Mráz
Štefan Žužič
Vinzenz Havel
Michal Pokorný","-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-","-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-"
"Pomník padlým v I. svetovej vojne, Dúbravka (Bratislava)",Bratislavský,Bratislava IV,Bratislava – mestská časť Dúbravka,"Niekdajšia obec Dúbravka je dnes mestskou časťou Bratislavy, ktorá leží na východnom úpätí Devínskej Kobyly v Bratislavskom samosprávnom kraji. V súčasnosti tu žije okolo 40.000 obyvateľov.",Pred domom č. 48 na Jadranskej ulici.,48.186618 17.027361,"Na snímke je pomník padlých vojakov v I. svetovej vojne, na ktorom figuruje 40 mien padlých vojakov. 25 vojaci padlí v I. svetovej vojne majú po okrajoch pomníka svoje fotografie. Pomník, ktorého autorom je Alojz Rigele, bol postavený v roku 1928. V hornej časti pomníka sa nachádza socha anjela, držiaceho v náručí umierajúceho vojaka.","Ján Brankovič
Jozef Brychta
Jozef Brankovič
Alojz Jurák
Gregor Granec
Martin Klas
Augustín Iliť
Rudolf Kratochvíl
Jakub Janošík
Ján Lučanič
Martin Jánošík
Jakub Mekes
Jozef Juračič
Martin Milošovič
Matej Klepoch
Ján Matrka
Štefan Matrka
Matúš Mikletič
Matúš Mikletič
Teofil Mikletič
Michal Milošovič
Ondrej Milošovič
Vendelín Milošovič
Zachariáš Milošovič
Tomáš Milošovič
Anton Pokorný
Ján Nemček
Štefan Pokorny
Peter Nemček
Ján Santner
Ján Pokorný
Ján Sluka
Ondrej Pribyl
Jozef Sluka
Jozef Sedlák
Michal Vráblik
Lenhard Sedlák
Viliam Stankovský
Štefan Stehlík
Rudolf Vlk","-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-","1918
1916
1915
1917
1917
-
1918
1917
-
1915
1922
-
1917
-
1917
1918
1918
1918
1918
-
1915
1917
1917
1914
1918
1918
1919
1916
1918
1915
1914
1914
1918
1919
1916
1917
-
1915
-
-"
"Pomník padlým v I. a II. svetovej vojne, Lamač (Bratislava)",Bratislavský,Bratislava IV,Bratislava – mestská časť Lamač,Niekdajšia obec Lamač je mestskou časťou Bratislavy od roku 1946 a leží v Bratislavskom samosprávnom kraji. Prvá písomná zmienka pochádza od roku 1540 a v súčasnosti tu žije okolo 6800 obyvateľov.,V areáli Rímskokatolíckeho kostola sv. Margity Antiochijskej na Vrančovičovej ulici 56 v Lamači.,48.192633 17.050827,"Na snímke je pomník padlých vojakov v I. a II. svetovej vojne, na ktorom figuruje 35 mien padlých vojakov v I. a 7 v II. svetovej vojne. Pri menách piatich vojakov padlých v I. svetovej vojne sa nenachádzajú fotomedailóny. Pomník, ktorého autorom je Alojz Rigele, bol odhalený v roku 10. výročia vzniku Československej republiky dňa 2. 9. 1928. V hornej časti pomníka sa nachádza socha Ježiša Krista, držiaceho v náručí umierajúceho vojaka.","Lukač Bednarič
Gašpar Faut
Štefan Bolek
František Foltyn
Ignác Boskovič
Jan Foltyn
Šimon Bezvoda
Michal Foltyn
Antonín Brutenič
Martin Fratrič
Alexander Čecho
Pavel Hergott
Ludevít Dufek
Antonín Hlubik
Ambróz Brankovič
Lenhart Fratrič
Jan Bukal
František Janata
Fabian Hlubik
František Kompanik
Gregor Kováčik
Matúš Kovačič
Michal Krajčovič
František Krajiček
František Valášek
Nikodém Masnovič
Leopold Matoš
Demian Kralovič
Ján Marada
František Mičulik
Pavel Mišovič
Adolf Mrázek
František Šindler
František Vidošovič","-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-","1917
1916
1915
1915
1914
1918
1915
1918
1918
1915
1915
1914
1914
1915
1916
1918
1916
1916
1914
1915
1915
1914
1914
1916
1916
1916
1918
1916
1916
1917
1916
1914
1917
1916"
"Pomník padlým v I. a II. svetovej vojne, Devín (Bratislava)",Bratislavský,Bratislava IV,Bratislava – mestská časť Devín,Devín je mestskou časťou Bratislavy a leží v Záhorskej nížine v Bratislavskom samosprávnom kraji. Prvá písomná zmienka o usadlosti pochádza z roku 1327 a v súčasnosti tu žije okolo 1200 obyvateľov.,V parčíku na Hradnej ulici pred kaviarňou Cafe Eden v Devíne.,48.173592 16.983985,"Na snímke je pomník padlým vojakov v I. a II. svetovej vojne, na ktorom nie sú uvedené mená padlých vojakov. Informáciu o menoslove je však možné získať na miestnom úrade mestskej časti. Pomník bol odhalený v roku 1927.","Johan Fährich
Martin Fatika
Gustav Galik
Rudolf Krammer Koller
Vinzenz Lechner Lang
Balthasar Lechner
Nickerl Mladosovits
Francz Oppenberger
Stefan Sanwald
Adolf Schlesinger
Johann Shopf
Karl Oberst Skalak
Sandor Slesinger","-
-
-
-
-
-
-
-
-
-
-
-
-","-
-
-
-
-
-
-
-
-
-
-
-
-"
"Pomník padlým v I. svetovej vojne, Karlova Ves (Bratislava)",Bratislavský,Bratislava IV,Bratislava – mestská časť Karlova Ves,Karlova Ves je mestskou časťou Bratislavy a leží v Záhorskej nížine v Bratislavskom samosprávnom kraji. Prvá písomná zmienka pochádza z roku 1786 a v súčasnosti tu žije okolo 35.000 obyvateľov.,Pomník sa nachádza na cintoríne v Slávičom údolí v sektore č. VIII v miestnej časti Bratislavy - Karlova Ves.,48.157267 17.066875,"Na snímke je pomník padlých vojakov v I. a II. svetovej vojne bez menoslovu. Po jeho bokoch je napravo vyobrazený reliéf muža so sklonenou hlavou a kyticou kvetov v rukách a naľavo je to vojak s puškou na pleci, držiaci v rukách helmu.",-,-,-
"Pomník padlým v I. svetovej vojne, Nové Mesto (Bratislava)",Bratislavský,Bratislava III,Bratislava – mestská časť Nové Mesto,Nové Mesto je mestskou časťou Bratislavy v Bratislavskom samosprávnom kraji. Prvá písomná zmienka o osídlení na týchto miestach pochádza z roku 1279 a v súčasnosti tu žije takmer 38.000 obyvateľov.,Pomník sa nachádza na Kolibe na ulici Cesta na Kamzík za odbočkou do Televízie JOJ.,48.173181 17.101719,"Na snímke je pomník padlých vojakov v I. svetovej vojne bez menoslovu. Architktonicky ho dotvára sediaca Panna Mária v lone s Ježiškom, ktorá je dielom Alojza Rigeleho a Mihálya Pasztinszkého. Pomník bol postavený v roku 1917.",-,-,-
"Kaplnka padlých vojakov v I. svetovej vojne, Podunajské Biskupice (Bratislava)",Bratislavský,Bratislava II,Bratislava – mestská časť Podunajské Biskupice,Podunajské Biskupice sú mestskou časťou Bratislavy v Bratislavskom samosprávnom kraji. Prvá písomná zmienka o osídlení na týchto miestach pochádza z roku 1254 a v súčasnosti tu žije viac ako 21.000 obyvateľov.,Kaplnka Panny Márie Škapuliarskej na rohu ulíc Kvetinárska a Krajinská neďaleko cintorína v Podunajských Biskupiciach v časti Komárov.,48.130314 17.198709,"Na snímke je kaplnka postavená na pamiatku padlých vojakov v I. svetovej vojne. Nad vstupným portálom je nápis v maďarskom jazyku, ktorý v preklade do slovenčiny znie - Tým, ktorí brániac domovinu hrdinskou smrťou mreli, daj im, Bože, večný pokoj.",-,-,-
"Tabuľa padlým v I. svetovej vojne, Čunovo (Bratislava)",Bratislavský,Bratislava V,Bratislava – mestská časť Čunovo,Čunovo je mestská časť Bratislavy v Bratislavskom samosprávnom kraji. Prvá písomná zmienka o osídlení na tomto území pochádza z roku 1232. V súčasnosti tu žije asi 1100 obyvateľov.,V areáli Rímskokatolíckeho kostola sv. Michala archanjela na Turistickej ulici v Čunove.,48.032375 17.20013,"Na snímke je tabuľa na pamiatku padlých vojakov v I. svetovej vojne, na ktorej figuruje 35 mien padlých vojakov. Jej autorom je Péter György.","György Bajnok
János Bankovich
János Beer
Mátyás Behon
János Bogovich, ml.
János Bogovich, st.
István Bogovich
János Breier
Ferenc Derkosich
Mihály Derkosich
Fülöp Hauser
Ferenc Hofschneider
János Javorek
József Kausich
József Klemensich
Adolf Kovasich
József Kovasich
Mihály Kovasich
János Löffler
András Meilinger
István Mersich
János Palesich
Károly Pallesich
János Pichler
János Poropatich
János Puchovich
Mátyás Puchovich
Gergely Rubi
Robert Ruderer
Jakab Stee
János Stee
Ferenc Valentich
Peter Valentich
András Város
Miklós Werdenich","-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-","-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-"
"Pomník padlým v I. a II. svetovej vojne, Jarovce (Bratislava)",Bratislavský,Bratislava V,Bratislava – mestská časť Jarovce,Jarovce sú mestská časť Bratislavy na hraniciach s Rakúskom v Bratislavskom samosprávnom kraji. Prvá písomná zmienka o osídlení na tomto území pochádza z roku 1208. V súčasnosti tu žije asi 1500 obyvateľov.,V areáli Rímskokatolíckeho kostola sv. Mikuláša na Palmovej ulici v Jarovciach.,48.065573 17.111439,"Na snímke je pomník padlých vojakov v I. a II. svetovej vojne, na ktorom figuruje 25 mien padlých vojakov v I. a 26 v II. svetovej vojne. Pomník architektonicky dotvára kríž s Ježišom Kristom.","János Czelt
Elkan Meyer
Mihály Novák
Jakab Wispel
Mátyás Wispel
Ferenc Kohlmann
János Jankovich
Mihály Kirschner
Mihály Warenich
István Wuketich
Mátyás Roth
Simon Roth
János Zsuppan
János Schiszler
Mátyás Uhlár
János Wispel
József Pöltzmann
Antal Wolf
Ignác Stromaier
György Kreiter
Jakab Hafner
Mátyás Wagner
István Jankovich
István Gágó","-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-","-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-"
"Kríž na pamiatku padlých vojakov v I. svetovej vojne, Prievoz (Bratislava)",Bratislavský,Bratislava II,Bratislava – mestská časť Ružinov,Ružinov je mestská časť Bratislavy v Bratislavskom samosprávnom kraji. Prvá písomná zmienka o osídlení na tomto území pochádza pochádza z roku 1524. V súčasnosti tu žije vyše 70.000 obyvateľov.,Ústredný kríž na cintoríne v Prievoze na Kľukatej ulici.,48.146937 17.166545,"Na snímke je kríž na pamiatku padlých vojakov v I. svetovej vojne, na ktorom sa nachádzajú mená 13 vojakov.","Friedrich Beringer
Kristof Berger
Johann Harb
Matias Gross
Kristof Bodinger
Karl Lechner
Michael Vest","-
-
-
-
-
-
-","1914
1914
1914
1914
1914
1915
1915"
