uid,visit_date,utm_source,utm_medium,utm_campaign,converted,cost_of_click
j3xms4,2022-06-17,facebook,email,summer_sale,True,0.46
knp3z4,2022-12-18,facebook,cpc,back_to_school,False,0.99
238n9m,2022-09-16,twitter,cpc,back_to_school,False,1.77
us2q12,2022-02-04,google,email,back_to_school,False,0.55
b5qfjr,2022-09-25,google,cpc,holiday_season,False,1.03
p772ey,2022-07-13,google,email,back_to_school,False,1.99
txnijd,2022-06-24,twitter,email,holiday_season,False,1.3
bod6dv,2022-07-15,facebook,email,holiday_season,False,1.19
snkpv8,2022-05-30,twitter,email,holiday_season,False,0.6
smxdij,2022-10-14,twitter,cpc,holiday_season,False,1.18
s2y1bt,2022-12-27,facebook,cpm,holiday_season,False,1.83
858y39,2022-01-10,google,email,summer_sale,False,0.48
8isp6g,2022-04-08,facebook,cpm,summer_sale,False,2.04
j8ml68,2022-08-19,facebook,cpm,summer_sale,False,0.64
8q6c3y,2022-09-23,twitter,email,back_to_school,False,1.61
buly36,2022-09-08,twitter,email,holiday_season,False,0.32
09st8o,2022-01-06,facebook,email,holiday_season,False,1.63
gg8xi6,2022-04-06,google,cpc,holiday_season,False,0.13
r4z753,2022-07-21,google,cpm,back_to_school,False,1.69
klnfny,2022-06-06,facebook,cpc,back_to_school,False,1.63
pico84,2022-06-06,google,cpc,back_to_school,False,1.69
mdjpc4,2022-10-23,twitter,email,summer_sale,False,0.3
7r09xf,2022-06-14,google,email,holiday_season,False,0.83
66fjn9,2022-05-23,twitter,email,holiday_season,False,0.85
7ni86d,2022-03-19,facebook,cpc,summer_sale,True,0.99
3tbidu,2022-08-11,google,cpm,summer_sale,False,0.54
1x7yf5,2022-01-09,twitter,cpc,back_to_school,False,1.57
2vqab2,2022-10-04,facebook,cpm,back_to_school,False,0.29
pf8cff,2022-09-27,facebook,email,holiday_season,False,1.49
c7emex,2022-04-29,twitter,cpm,holiday_season,False,2.01
t9e30x,2022-09-04,twitter,cpm,back_to_school,False,2.5
6irqw5,2022-07-17,twitter,email,back_to_school,False,1.07
ffz9qv,2022-10-31,twitter,cpc,back_to_school,True,0.3
sl02is,2022-05-02,facebook,email,back_to_school,False,0.68
6tqzsr,2022-06-26,twitter,cpm,summer_sale,False,0.61
8t4gmg,2022-07-29,facebook,cpc,holiday_season,False,1.68
rr3nxu,2022-11-30,google,email,back_to_school,False,2.19
wl5wbm,2022-05-23,google,cpc,back_to_school,False,0.88
ytioiw,2022-03-27,facebook,cpm,holiday_season,False,0.19
raghaf,2022-09-15,google,cpm,back_to_school,True,0.74
2tbilf,2022-10-26,google,cpc,summer_sale,True,2.28
0zxae9,2022-07-16,facebook,cpc,summer_sale,False,2.28
s6lbn3,2022-01-21,google,email,holiday_season,False,0.03
s6cs4q,2022-06-16,google,cpc,back_to_school,False,0.08
vsu421,2022-06-01,google,email,summer_sale,False,0.83
advl12,2022-09-17,google,cpm,holiday_season,False,0.32
24cmfz,2022-09-09,google,cpc,back_to_school,False,0.69
1xhxed,2022-08-31,google,cpc,holiday_season,False,1.48
x958a5,2022-08-09,google,cpm,summer_sale,False,0.29
xn5cxb,2022-10-05,google,cpc,holiday_season,False,0.48
i68tr1,2022-01-22,twitter,cpc,summer_sale,False,2.3
t0z5jh,2022-11-04,twitter,cpc,back_to_school,False,0.64
kcgxte,2022-03-24,facebook,cpc,holiday_season,False,0.87
hbs6h7,2022-08-19,google,cpm,holiday_season,False,1.11
r7o83o,2022-10-24,facebook,email,back_to_school,True,0.72
076e9c,2022-04-05,facebook,cpm,holiday_season,False,0.44
7iqek7,2022-01-28,facebook,cpc,back_to_school,False,2.32
wiwbih,2022-02-09,facebook,cpc,summer_sale,False,0.64
d4qze9,2022-01-13,google,email,back_to_school,False,1.9
n8941v,2022-08-02,google,cpm,back_to_school,True,2.24
as0q93,2022-07-19,twitter,cpc,back_to_school,False,0.44
5liwvx,2022-05-20,twitter,cpc,back_to_school,False,0.62
ypmz88,2022-08-22,google,email,holiday_season,False,1.65
ylvzk9,2022-05-15,facebook,email,summer_sale,False,0.51
q4ejq6,2022-02-28,facebook,email,holiday_season,True,2.44
nuy72a,2022-09-16,facebook,cpm,holiday_season,True,1.18
rkkart,2022-12-28,twitter,cpm,holiday_season,False,2.24
7xjhsr,2022-02-22,google,cpc,back_to_school,False,0.19
ds4e68,2022-07-18,twitter,cpm,summer_sale,False,1.77
639tj4,2022-06-18,facebook,cpm,back_to_school,False,1.34
ujqmf9,2022-01-20,facebook,cpm,holiday_season,False,1.27
jm8vz0,2022-10-27,google,cpc,summer_sale,False,0.68
o1tdpf,2022-03-24,google,cpm,holiday_season,False,2.18
4cjdgd,2022-07-06,twitter,cpc,back_to_school,False,1.95
2vr0ox,2022-08-17,google,cpc,back_to_school,False,1.07
rvrrge,2022-01-13,facebook,cpc,holiday_season,False,1.51
l9yn3z,2022-03-24,twitter,cpm,back_to_school,False,0.09
w9x976,2022-08-01,twitter,email,summer_sale,False,0.52
1z8y7e,2022-08-02,google,cpc,summer_sale,False,0.88
1hygds,2022-06-18,facebook,cpm,holiday_season,False,0.53
c2uoep,2022-04-04,facebook,cpc,summer_sale,False,2.44
3fpuj9,2022-11-13,google,cpm,holiday_season,False,1.91
msv9zu,2022-11-24,twitter,cpm,back_to_school,False,1.94
wlxjdd,2022-10-31,google,cpc,summer_sale,False,1.77
gqfytd,2022-09-16,twitter,cpm,summer_sale,False,0.26
3uvrzl,2022-08-26,google,cpm,back_to_school,False,1.6
ohybn0,2022-12-29,google,email,summer_sale,False,0.77
izg0df,2022-05-01,facebook,cpc,back_to_school,False,2.03
