Month_Year,Avg_players,Gain,Percent_Gain,Peak_Players,URL,Date,Game_Name
September 2021,512350.92,268.96,+0.05%,942519,https://steamcharts.com/app/730,2021-09-01,Counter Strike: Global Offensive
August 2021,512081.96,6014.60,+1.19%,802544,https://steamcharts.com/app/730,2021-08-01,Counter Strike: Global Offensive
July 2021,506067.36,-43279.72,-7.88%,763523,https://steamcharts.com/app/730,2021-07-01,Counter Strike: Global Offensive
June 2021,549347.08,-110541.81,-16.75%,929940,https://steamcharts.com/app/730,2021-06-01,Counter Strike: Global Offensive
May 2021,659888.89,-63457.63,-8.77%,1087197,https://steamcharts.com/app/730,2021-05-01,Counter Strike: Global Offensive
April 2021,723346.52,-17581.31,-2.37%,1148077,https://steamcharts.com/app/730,2021-04-01,Counter Strike: Global Offensive
March 2021,740927.82,-85.42,-0.01%,1198581,https://steamcharts.com/app/730,2021-03-01,Counter Strike: Global Offensive
February 2021,741013.24,-2196.42,-0.30%,1123485,https://steamcharts.com/app/730,2021-02-01,Counter Strike: Global Offensive
January 2021,743209.66,25405.91,+3.54%,1124553,https://steamcharts.com/app/730,2021-01-01,Counter Strike: Global Offensive
December 2020,717803.75,49049.17,+7.33%,1164396,https://steamcharts.com/app/730,2020-12-01,Counter Strike: Global Offensive
November 2020,668754.58,55087.89,+8.98%,1037464,https://steamcharts.com/app/730,2020-11-01,Counter Strike: Global Offensive
October 2020,613666.69,6816.37,+1.12%,943876,https://steamcharts.com/app/730,2020-10-01,Counter Strike: Global Offensive
September 2020,606850.32,-33107.34,-5.17%,977769,https://steamcharts.com/app/730,2020-09-01,Counter Strike: Global Offensive
August 2020,639957.66,14056.85,+2.25%,925348,https://steamcharts.com/app/730,2020-08-01,Counter Strike: Global Offensive
July 2020,625900.81,-45746.65,-6.81%,857560,https://steamcharts.com/app/730,2020-07-01,Counter Strike: Global Offensive
June 2020,671647.46,-97147.79,-12.64%,1009467,https://steamcharts.com/app/730,2020-06-01,Counter Strike: Global Offensive
May 2020,768795.25,-88808.97,-10.36%,1193359,https://steamcharts.com/app/730,2020-05-01,Counter Strike: Global Offensive
April 2020,857604.22,186570.94,+27.80%,1305714,https://steamcharts.com/app/730,2020-04-01,Counter Strike: Global Offensive
March 2020,671033.29,127054.13,+23.36%,1145972,https://steamcharts.com/app/730,2020-03-01,Counter Strike: Global Offensive
