timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1712853371036,68,Home page - shmu.sk,200,"Number of samples in transaction : 2, number of failing samples : 0",Testovaci scenar 1-1,,true,,29943,1584,5,5,null,0,26005,11
1712853384039,61,HTTP Request,200,OK,Testovaci scenar 1-1,text,true,,15181,1113,5,5,https://www.shmu.sk/sk/?page=1,14,0,11
1712853384039,14,HTTP Request-0,302,Moved Temporarily,Testovaci scenar 1-1,,true,,131,370,5,5,http://www.shmu.sk/?page=1,14,0,11
1712853384054,39,HTTP Request-1,301,Moved Permanently,Testovaci scenar 1-1,text,true,,288,370,5,5,https://www.shmu.sk/?page=1,39,0,30
1712853384094,6,HTTP Request-2,200,OK,Testovaci scenar 1-1,text,true,,14762,373,5,5,https://www.shmu.sk/sk/?page=1,6,0,0
1712853397102,7,HTTP Request,200,OK,Testovaci scenar 1-1,text,true,,14762,471,5,5,https://www.shmu.sk/sk/?page=1,6,0,0
1712853372280,50,Home page - shmu.sk,200,"Number of samples in transaction : 2, number of failing samples : 0",Testovaci scenar 1-2,,true,,29974,1584,5,5,null,0,26013,3
1712853385281,43,HTTP Request,200,OK,Testovaci scenar 1-2,text,true,,15212,1113,5,5,https://www.shmu.sk/sk/?page=1,9,0,3
1712853385281,9,HTTP Request-0,302,Moved Temporarily,Testovaci scenar 1-2,,true,,131,370,5,5,http://www.shmu.sk/?page=1,9,0,3
1712853385291,28,HTTP Request-1,301,Moved Permanently,Testovaci scenar 1-2,text,true,,319,370,5,5,https://www.shmu.sk/?page=1,28,0,24
1712853385319,5,HTTP Request-2,200,OK,Testovaci scenar 1-2,text,true,,14762,373,5,5,https://www.shmu.sk/sk/?page=1,5,0,0
1712853398335,7,HTTP Request,200,OK,Testovaci scenar 1-2,text,true,,14762,471,5,5,https://www.shmu.sk/sk/?page=1,7,0,0
1712853373528,51,Home page - shmu.sk,200,"Number of samples in transaction : 2, number of failing samples : 0",Testovaci scenar 1-3,,true,,29974,1584,5,5,null,0,26017,4
1712853386530,44,HTTP Request,200,OK,Testovaci scenar 1-3,text,true,,15212,1113,5,5,https://www.shmu.sk/sk/?page=1,7,0,4
1712853386530,7,HTTP Request-0,302,Moved Temporarily,Testovaci scenar 1-3,,true,,131,370,5,5,http://www.shmu.sk/?page=1,7,0,4
1712853386538,29,HTTP Request-1,301,Moved Permanently,Testovaci scenar 1-3,text,true,,319,370,5,5,https://www.shmu.sk/?page=1,29,0,24
1712853386567,7,HTTP Request-2,200,OK,Testovaci scenar 1-3,text,true,,14762,373,5,5,https://www.shmu.sk/sk/?page=1,7,0,0
1712853399589,7,HTTP Request,200,OK,Testovaci scenar 1-3,text,true,,14762,471,5,5,https://www.shmu.sk/sk/?page=1,7,0,0
1712853374775,48,Home page - shmu.sk,200,"Number of samples in transaction : 2, number of failing samples : 0",Testovaci scenar 1-4,,true,,29974,1584,5,5,null,0,26010,5
1712853387776,42,HTTP Request,200,OK,Testovaci scenar 1-4,text,true,,15212,1113,5,5,https://www.shmu.sk/sk/?page=1,9,0,5
